Google Shopping interest
United States; 2010

Interest over time
Week,Science
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+20%
2010-01-17 - 2010-01-23,+11%
2010-01-24 - 2010-01-30,+10%
2010-01-31 - 2010-02-06,-12%
2010-02-07 - 2010-02-13,-19%
2010-02-14 - 2010-02-20,-20%
2010-02-21 - 2010-02-27,-20%
2010-02-28 - 2010-03-06,-19%
2010-03-07 - 2010-03-13,-12%
2010-03-14 - 2010-03-20,+12%
2010-03-21 - 2010-03-27,-17%
2010-03-28 - 2010-04-03,-19%
2010-04-04 - 2010-04-10,-18%
2010-04-11 - 2010-04-17,-16%
2010-04-18 - 2010-04-24,-4%
2010-04-25 - 2010-05-01,-18%
2010-05-02 - 2010-05-08,-13%
2010-05-09 - 2010-05-15,-19%
2010-05-16 - 2010-05-22,-10%
2010-05-23 - 2010-05-29,-18%
2010-05-30 - 2010-06-05,-14%
2010-06-06 - 2010-06-12,-24%
2010-06-13 - 2010-06-19,-25%
2010-06-20 - 2010-06-26,-18%
2010-06-27 - 2010-07-03,-18%
2010-07-04 - 2010-07-10,-22%
2010-07-11 - 2010-07-17,-17%
2010-07-18 - 2010-07-24,-20%
2010-07-25 - 2010-07-31,-17%
2010-08-01 - 2010-08-07,-14%
2010-08-08 - 2010-08-14,-17%
2010-08-15 - 2010-08-21,-2%
2010-08-22 - 2010-08-28,+18%
2010-08-29 - 2010-09-04,+18%
2010-09-05 - 2010-09-11,+5%
2010-09-12 - 2010-09-18,-7%
2010-09-19 - 2010-09-25,-11%
2010-09-26 - 2010-10-02,-13%
2010-10-03 - 2010-10-09,-14%
2010-10-10 - 2010-10-16,-13%
2010-10-17 - 2010-10-23,-17%
2010-10-24 - 2010-10-30,-22%
2010-10-31 - 2010-11-06,-8%
2010-11-07 - 2010-11-13,-30%
2010-11-14 - 2010-11-20,-28%
2010-11-21 - 2010-11-27,-42%
2010-11-28 - 2010-12-04,-33%
2010-12-05 - 2010-12-11,-25%
2010-12-12 - 2010-12-18,-23%
2010-12-19 - 2010-12-25,-30%
2010-12-26 - 2011-01-01,-31%



Top searches
scale,100
biology,50
microscope,45
math,45
thermos,40
robot,40
scales,35
autocad,30
pond pumps,25
chemistry set,25
digital scale,25
bathroom scale,25
ant farm,25
pi day,20
potassium iodide,20
rat zapper,20
mouse trap,15
mindstorms,15
food scale,15
saxon math,15



Rising searches
pi day,Breakout
potassium iodide,+300%
mouse trap,+190%
chemistry set,+160%
rat zapper,+130%
pond pumps,+120%
saxon math,+100%
bathroom scale,+90%
digital scales,+50%
food scale,+50%



