News Search interest
United States; 2010

Interest over time
Week,Internet & Telecom
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-24%
2010-01-17 - 2010-01-23,-35%
2010-01-24 - 2010-01-30,-22%
2010-01-31 - 2010-02-06,-32%
2010-02-07 - 2010-02-13,-31%
2010-02-14 - 2010-02-20,-28%
2010-02-21 - 2010-02-27,-36%
2010-02-28 - 2010-03-06,-32%
2010-03-07 - 2010-03-13,-27%
2010-03-14 - 2010-03-20,-26%
2010-03-21 - 2010-03-27,-18%
2010-03-28 - 2010-04-03,-17%
2010-04-04 - 2010-04-10,-18%
2010-04-11 - 2010-04-17,-22%
2010-04-18 - 2010-04-24,-19%
2010-04-25 - 2010-05-01,-19%
2010-05-02 - 2010-05-08,-33%
2010-05-09 - 2010-05-15,-22%
2010-05-16 - 2010-05-22,-26%
2010-05-23 - 2010-05-29,-30%
2010-05-30 - 2010-06-05,-23%
2010-06-06 - 2010-06-12,-7%
2010-06-13 - 2010-06-19,-19%
2010-06-20 - 2010-06-26,-4%
2010-06-27 - 2010-07-03,-14%
2010-07-04 - 2010-07-10,-16%
2010-07-11 - 2010-07-17,-23%
2010-07-18 - 2010-07-24,-16%
2010-07-25 - 2010-07-31,-27%
2010-08-01 - 2010-08-07,-1%
2010-08-08 - 2010-08-14,+6%
2010-08-15 - 2010-08-21,-30%
2010-08-22 - 2010-08-28,-29%
2010-08-29 - 2010-09-04,-36%
2010-09-05 - 2010-09-11,-20%
2010-09-12 - 2010-09-18,-29%
2010-09-19 - 2010-09-25,-23%
2010-09-26 - 2010-10-02,-20%
2010-10-03 - 2010-10-09,-14%
2010-10-10 - 2010-10-16,-12%
2010-10-17 - 2010-10-23,-27%
2010-10-24 - 2010-10-30,-30%
2010-10-31 - 2010-11-06,-40%
2010-11-07 - 2010-11-13,-20%
2010-11-14 - 2010-11-20,-26%
2010-11-21 - 2010-11-27,-28%
2010-11-28 - 2010-12-04,-24%
2010-12-05 - 2010-12-11,-17%
2010-12-12 - 2010-12-18,-23%
2010-12-19 - 2010-12-25,-10%
2010-12-26 - 2011-01-01,-15%



Top searches
iphone,100
verizon,60
google,55
android,35
twitter,25
htc,25
nexus,25
iphone verizon,25
nexus one,25
twitter tips,25
mail,20
yahoo,20
blackberry,20
sprint,15
yahoo mail,15
mobile,15
at&t,15
smartphones,15
iphone 4,15
motorola,10



Rising searches
iphone 4,Breakout
windows phone,Breakout
windows phone 7,Breakout
smartphones,+2,400%
nexus one,+950%
nexus,+900%
iphone 4g,+450%
search engines,+450%
iphone verizon,+160%
twitter tips,+130%



