YouTube Search interest
United States; 2012

Interest over time
Week,Business & Industrial
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+2%
2012-01-15 - 2012-01-21,+10%
2012-01-22 - 2012-01-28,+3%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,-2%
2012-02-12 - 2012-02-18,+59%
2012-02-19 - 2012-02-25,+6%
2012-02-26 - 2012-03-03,+14%
2012-03-04 - 2012-03-10,+2%
2012-03-11 - 2012-03-17,+5%
2012-03-18 - 2012-03-24,+5%
2012-03-25 - 2012-03-31,+10%
2012-04-01 - 2012-04-07,+5%
2012-04-08 - 2012-04-14,+5%
2012-04-15 - 2012-04-21,+8%
2012-04-22 - 2012-04-28,+6%
2012-04-29 - 2012-05-05,+2%
2012-05-06 - 2012-05-12,+5%
2012-05-13 - 2012-05-19,+6%
2012-05-20 - 2012-05-26,+5%
2012-05-27 - 2012-06-02,+5%
2012-06-03 - 2012-06-09,+3%
2012-06-10 - 2012-06-16,+5%
2012-06-17 - 2012-06-23,+5%
2012-06-24 - 2012-06-30,+5%
2012-07-01 - 2012-07-07,+6%
2012-07-08 - 2012-07-14,+8%
2012-07-15 - 2012-07-21,+8%
2012-07-22 - 2012-07-28,+10%
2012-07-29 - 2012-08-04,+8%
2012-08-05 - 2012-08-11,+10%
2012-08-12 - 2012-08-18,+10%
2012-08-19 - 2012-08-25,+8%
2012-08-26 - 2012-09-01,+10%
2012-09-02 - 2012-09-08,+14%
2012-09-09 - 2012-09-15,+14%
2012-09-16 - 2012-09-22,+13%
2012-09-23 - 2012-09-29,+14%
2012-09-30 - 2012-10-06,+13%
2012-10-07 - 2012-10-13,+13%
2012-10-14 - 2012-10-20,+14%
2012-10-21 - 2012-10-27,+11%
2012-10-28 - 2012-11-03,+10%
2012-11-04 - 2012-11-10,+8%
2012-11-11 - 2012-11-17,+8%
2012-11-18 - 2012-11-24,+10%
2012-11-25 - 2012-12-01,+11%
2012-12-02 - 2012-12-08,+11%
2012-12-09 - 2012-12-15,+10%
2012-12-16 - 2012-12-22,+6%
2012-12-23 - 2012-12-29,+5%
2012-12-30 - 2013-01-05,+13%



Top searches
minecraft,100
water,45
grammys,35
space,30
tractor,30
survival,25
karmin,25
syndicate project,25
trailers,25
moon,25
neon trees,25
motivation,25
grammys 2012,20
tank,20
cashin out,20
trucks,20
mine,15
audition,15
dom mazzetti,15
solar,15



Rising searches
2012 grammy awards,Breakout
adele grammy 2012,Breakout
cashin out,Breakout
grammys 2012,Breakout
minecraft project,+450%
minecraft survival,+130%
minecraft,+100%
syndicate project,+80%
survival,+60%



