Web Search interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-18,+0%
2014-06-19,-3%
2014-06-20,-8%
2014-06-21,-27%
2014-06-22,-25%
2014-06-23,-5%
2014-06-24,+2%
2014-06-25,-6%
2014-06-26,-8%
2014-06-27,-11%
2014-06-28,-27%
2014-06-29,-25%
2014-06-30,-8%
2014-07-01,-8%
2014-07-02,-10%
2014-07-03,-11%
2014-07-04,-32%
2014-07-05,-30%
2014-07-06,-27%
2014-07-07,-6%
2014-07-08,-8%
2014-07-09,-8%
2014-07-10,-5%
2014-07-11,-8%
2014-07-12,-24%
2014-07-13,-22%
2014-07-14,-5%
2014-07-15,-5%
2014-07-16,-5%
2014-07-17,-5%
2014-07-18,-13%
2014-07-19,-29%
2014-07-20,-25%
2014-07-21,-8%
2014-07-22,-6%
2014-07-23,-3%
2014-07-24,-3%
2014-07-25,-10%
2014-07-26,-25%
2014-07-27,-24%
2014-07-28,-6%
2014-07-29,-6%
2014-07-30,-5%
2014-07-31,-5%
2014-08-01,-11%
2014-08-02,-27%
2014-08-03,-25%
2014-08-04,-2%
2014-08-05,-2%
2014-08-06,-2%
2014-08-07,+3%
2014-08-08,-6%
2014-08-09,-21%
2014-08-10,-17%
2014-08-11,-2%
2014-08-12,+2%
2014-08-13,+8%
2014-08-14,+2%
2014-08-15,-8%
2014-08-16,-25%
2014-08-17,-24%
2014-08-18,+0%
2014-08-19,+8%
2014-08-20,+8%
2014-08-21,+11%
2014-08-22,+5%
2014-08-23,-21%
2014-08-24,-11%
2014-08-25,+17%
2014-08-26,+30%
2014-08-27,+33%
2014-08-28,+32%
2014-08-29,+21%
2014-08-30,-19%
2014-08-31,-16%
2014-09-01,-3%
2014-09-02,+29%
2014-09-03,+41%
2014-09-04,+48%
2014-09-05,+33%
2014-09-06,-13%
2014-09-07,+5%
2014-09-08,+44%
2014-09-09,+59%
2014-09-10,+56%
2014-09-11,+52%
2014-09-12,+43%
2014-09-13,-2%
2014-09-14,+6%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
math,100
java,75
science,50
windows 7,45
calculator,30
javascript,25
cool math,25
chemistry,25
physics,20
periodic table,20
algebra,20
divergent,20
brain,20
animals,15
nebraska,15
bed bugs,15
dna,15
black widow,15
ocean,15
meteor,15



Rising searches
the strain,+850%
black widow,+300%
brown recluse spider,+160%
wasp,+150%
tide chart,+140%
brown recluse,+130%
stephen hawking,+120%
bed bug,+100%
bed bugs,+80%
drone,+70%



