News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,News
2011-01-30 - 2011-02-05,-59%
2011-02-06 - 2011-02-12,-67%
2011-02-13 - 2011-02-19,-65%
2011-02-20 - 2011-02-26,-67%
2011-02-27 - 2011-03-05,-63%
2011-03-06 - 2011-03-12,-65%
2011-03-13 - 2011-03-19,-71%
2011-03-20 - 2011-03-26,-67%
2011-03-27 - 2011-04-02,-71%
2011-04-03 - 2011-04-09,-65%
2011-04-10 - 2011-04-16,-67%
2011-04-17 - 2011-04-23,-69%
2011-04-24 - 2011-04-30,-63%
2011-05-01 - 2011-05-07,-63%
2011-05-08 - 2011-05-14,-69%
2011-05-15 - 2011-05-21,-67%
2011-05-22 - 2011-05-28,-65%
2011-05-29 - 2011-06-04,-69%
2011-06-05 - 2011-06-11,-65%
2011-06-12 - 2011-06-18,-69%
2011-06-19 - 2011-06-25,-71%
2011-06-26 - 2011-07-02,-67%
2011-07-03 - 2011-07-09,-69%
2011-07-10 - 2011-07-16,-69%
2011-07-17 - 2011-07-23,-61%
2011-07-24 - 2011-07-30,-65%
2011-07-31 - 2011-08-06,-67%
2011-08-07 - 2011-08-13,-63%
2011-08-14 - 2011-08-20,-65%
2011-08-21 - 2011-08-27,-63%
2011-08-28 - 2011-09-03,-69%
2011-09-04 - 2011-09-10,-67%
2011-09-11 - 2011-09-17,-67%
2011-09-18 - 2011-09-24,-69%
2011-09-25 - 2011-10-01,-69%
2011-10-02 - 2011-10-08,-57%
2011-10-09 - 2011-10-15,-65%
2011-10-16 - 2011-10-22,-67%
2011-10-23 - 2011-10-29,-69%
2011-10-30 - 2011-11-05,-67%
2011-11-06 - 2011-11-12,-65%
2011-11-13 - 2011-11-19,-69%
2011-11-20 - 2011-11-26,-69%
2011-11-27 - 2011-12-03,-69%
2011-12-04 - 2011-12-10,-69%
2011-12-11 - 2011-12-17,-67%
2011-12-18 - 2011-12-24,-67%
2011-12-25 - 2011-12-31,-65%
