YouTube Search interest
United States; Past 90 days

Interest over time
Day,News
2014-06-20,+0%
2014-06-21,-3%
2014-06-22,-6%
2014-06-23,-4%
2014-06-24,-3%
2014-06-25,-2%
2014-06-26,-4%
2014-06-27,+1%
2014-06-28,-4%
2014-06-29,-8%
2014-06-30,-3%
2014-07-01,-9%
2014-07-02,-2%
2014-07-03,-7%
2014-07-04,-10%
2014-07-05,-3%
2014-07-06,-7%
2014-07-07,-7%
2014-07-08,-4%
2014-07-09,-4%
2014-07-10,+0%
2014-07-11,-2%
2014-07-12,-4%
2014-07-13,-11%
2014-07-14,-6%
2014-07-15,-8%
2014-07-16,-4%
2014-07-17,+12%
2014-07-18,+7%
2014-07-19,+0%
2014-07-20,+0%
2014-07-21,-6%
2014-07-22,-8%
2014-07-23,-3%
2014-07-24,+0%
2014-07-25,-3%
2014-07-26,-9%
2014-07-27,-8%
2014-07-28,-8%
2014-07-29,-7%
2014-07-30,-3%
2014-07-31,+1%
2014-08-01,-2%
2014-08-02,-10%
2014-08-03,-7%
2014-08-04,-2%
2014-08-05,-2%
2014-08-06,-6%
2014-08-07,-1%
2014-08-08,-4%
2014-08-09,-6%
2014-08-10,-11%
2014-08-11,-10%
2014-08-12,-8%
2014-08-13,-7%
2014-08-14,-6%
2014-08-15,-8%
2014-08-16,-7%
2014-08-17,-11%
2014-08-18,-3%
2014-08-19,+8%
2014-08-20,+3%
2014-08-21,+4%
2014-08-22,+2%
2014-08-23,-8%
2014-08-24,-9%
2014-08-25,-3%
2014-08-26,-6%
2014-08-27,-8%
2014-08-28,-1%
2014-08-29,-7%
2014-08-30,-11%
2014-08-31,-8%
2014-09-01,-15%
2014-09-02,-3%
2014-09-03,-2%
2014-09-04,-7%
2014-09-05,-9%
2014-09-06,-11%
2014-09-07,-10%
2014-09-08,-4%
2014-09-09,+2%
2014-09-10,+2%
2014-09-11,+9%
2014-09-12,+1%
2014-09-13,-9%
2014-09-14,-11%
2014-09-15,-6%
2014-09-16,-1%
2014-09-17,-2%
2014-09-18, 
2014-09-19, 



Top searches
news,100
miley cyrus,80
ellen,60
beyonce,45
chief keef,35
ellen degeneres,30
obama,30
drunk in love,25
vice,25
vice news,20
jennifer lopez,20
ice bucket challenge,20
survival,20
first take,20
trump,15
stevie wonder,15
cristiano ronaldo,15
gabriel iglesias,15
kim kardashian,15
first take espn,15



Rising searches
ice bucket challenge,Breakout
espys,+1,500%
charlie sheen,+400%
vice news,+160%
vice,+120%
lana del rey,+90%
cnn,+60%
inside gaming,+60%
kim kardashian,+60%
surfing,+60%



