News Search interest
United States; 2008

Interest over time
Week,Sports
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+6%
2008-01-20 - 2008-01-26,+3%
2008-01-27 - 2008-02-02,-6%
2008-02-03 - 2008-02-09,+18%
2008-02-10 - 2008-02-16,-18%
2008-02-17 - 2008-02-23,-9%
2008-02-24 - 2008-03-01,-21%
2008-03-02 - 2008-03-08,-9%
2008-03-09 - 2008-03-15,+0%
2008-03-16 - 2008-03-22,+67%
2008-03-23 - 2008-03-29,+27%
2008-03-30 - 2008-04-05,+18%
2008-04-06 - 2008-04-12,+18%
2008-04-13 - 2008-04-19,-6%
2008-04-20 - 2008-04-26,+18%
2008-04-27 - 2008-05-03,-3%
2008-05-04 - 2008-05-10,-27%
2008-05-11 - 2008-05-17,-24%
2008-05-18 - 2008-05-24,-18%
2008-05-25 - 2008-05-31,+27%
2008-06-01 - 2008-06-07,+45%
2008-06-08 - 2008-06-14,+24%
2008-06-15 - 2008-06-21,+76%
2008-06-22 - 2008-06-28,+24%
2008-06-29 - 2008-07-05,+36%
2008-07-06 - 2008-07-12,+27%
2008-07-13 - 2008-07-19,+9%
2008-07-20 - 2008-07-26,+3%
2008-07-27 - 2008-08-02,+3%
2008-08-03 - 2008-08-09,+85%
2008-08-10 - 2008-08-16,+203%
2008-08-17 - 2008-08-23,+121%
2008-08-24 - 2008-08-30,+21%
2008-08-31 - 2008-09-06,-24%
2008-09-07 - 2008-09-13,-12%
2008-09-14 - 2008-09-20,-30%
2008-09-21 - 2008-09-27,-30%
2008-09-28 - 2008-10-04,-27%
2008-10-05 - 2008-10-11,-21%
2008-10-12 - 2008-10-18,-15%
2008-10-19 - 2008-10-25,-9%
2008-10-26 - 2008-11-01,-12%
2008-11-02 - 2008-11-08,-52%
2008-11-09 - 2008-11-15,-27%
2008-11-16 - 2008-11-22,-12%
2008-11-23 - 2008-11-29,-9%
2008-11-30 - 2008-12-06,+18%
2008-12-07 - 2008-12-13,+30%
2008-12-14 - 2008-12-20,-18%
2008-12-21 - 2008-12-27,-12%
2008-12-28 - 2009-01-03,+42%



Top searches
olympic,100
olympics,80
football,80
nfl,65
basketball,55
ncaa,55
nba,35
phelps,35
bcs,30
us open,25
2008 olympics,25
michael phelps,25
super bowl,20
ufc,20
beijing 2008,20
world series,20
olympic games,20
lakers,20
soccer,15
nfl draft,15



Rising searches
beijing 2008,Breakout
michael phelps,Breakout
phelps,Breakout
olympic games,+4,350%
2008 olympics,+3,050%
olympics,+2,900%
olympic,+2,550%
super bowl,+750%
nba,+450%
ncaa,+300%



