News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,People & Society
2011-01-16 - 2011-01-22,+70%
2011-01-23 - 2011-01-29,+49%
2011-01-30 - 2011-02-05,+51%
2011-02-06 - 2011-02-12,+43%
2011-02-13 - 2011-02-19,+46%
2011-02-20 - 2011-02-26,+43%
2011-02-27 - 2011-03-05,+46%
2011-03-06 - 2011-03-12,+32%
2011-03-13 - 2011-03-19,+59%
2011-03-20 - 2011-03-26,+57%
2011-03-27 - 2011-04-02,+59%
2011-04-03 - 2011-04-09,+46%
2011-04-10 - 2011-04-16,+57%
2011-04-17 - 2011-04-23,+46%
2011-04-24 - 2011-04-30,+70%
2011-05-01 - 2011-05-07,+27%
2011-05-08 - 2011-05-14,+41%
2011-05-15 - 2011-05-21,+70%
2011-05-22 - 2011-05-28,+68%
2011-05-29 - 2011-06-04,+41%
2011-06-05 - 2011-06-11,+38%
2011-06-12 - 2011-06-18,+54%
2011-06-19 - 2011-06-25,+51%
2011-06-26 - 2011-07-02,+46%
2011-07-03 - 2011-07-09,+38%
2011-07-10 - 2011-07-16,+59%
2011-07-17 - 2011-07-23,+38%
2011-07-24 - 2011-07-30,+24%
2011-07-31 - 2011-08-06,+30%
2011-08-07 - 2011-08-13,+27%
2011-08-14 - 2011-08-20,+38%
2011-08-21 - 2011-08-27,+22%
2011-08-28 - 2011-09-03,+27%
2011-09-04 - 2011-09-10,+30%
2011-09-11 - 2011-09-17,+43%
2011-09-18 - 2011-09-24,+35%
2011-09-25 - 2011-10-01,+46%
2011-10-02 - 2011-10-08,+32%
2011-10-09 - 2011-10-15,+46%
2011-10-16 - 2011-10-22,+54%
2011-10-23 - 2011-10-29,+51%
2011-10-30 - 2011-11-05,+65%
2011-11-06 - 2011-11-12,+38%
2011-11-13 - 2011-11-19,+41%
2011-11-20 - 2011-11-26,+35%
2011-11-27 - 2011-12-03,+46%
2011-12-04 - 2011-12-10,+43%
2011-12-11 - 2011-12-17,+43%
2011-12-18 - 2011-12-24,+41%
2011-12-25 - 2011-12-31,+46%
2012-01-01 - 2012-01-07,+51%
2012-01-08 - 2012-01-14,+49%
2012-01-15 - 2012-01-21,+35%
2012-01-22 - 2012-01-28,+46%
2012-01-29 - 2012-02-04,+62%
2012-02-05 - 2012-02-11,+57%
2012-02-12 - 2012-02-18,+49%
2012-02-19 - 2012-02-25,+65%
2012-02-26 - 2012-03-03,+57%
2012-03-04 - 2012-03-10,+76%
2012-03-11 - 2012-03-17,+54%
2012-03-18 - 2012-03-24,+57%
2012-03-25 - 2012-03-31,+59%
2012-04-01 - 2012-04-07,+59%
2012-04-08 - 2012-04-14,+62%
2012-04-15 - 2012-04-21,+57%
2012-04-22 - 2012-04-28,+57%
2012-04-29 - 2012-05-05,+54%
2012-05-06 - 2012-05-12,+62%
2012-05-13 - 2012-05-19,+57%
2012-05-20 - 2012-05-26,+62%
2012-05-27 - 2012-06-02,+65%
