News Search interest
United States; 2009

Interest over time
Week,Arts & Entertainment
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+24%
2009-01-18 - 2009-01-24,-18%
2009-01-25 - 2009-01-31,-3%
2009-02-01 - 2009-02-07,+6%
2009-02-08 - 2009-02-14,+61%
2009-02-15 - 2009-02-21,+23%
2009-02-22 - 2009-02-28,+40%
2009-03-01 - 2009-03-07,+24%
2009-03-08 - 2009-03-14,+8%
2009-03-15 - 2009-03-21,+26%
2009-03-22 - 2009-03-28,+5%
2009-03-29 - 2009-04-04,-2%
2009-04-05 - 2009-04-11,+11%
2009-04-12 - 2009-04-18,+16%
2009-04-19 - 2009-04-25,+8%
2009-04-26 - 2009-05-02,-24%
2009-05-03 - 2009-05-09,+10%
2009-05-10 - 2009-05-16,+27%
2009-05-17 - 2009-05-23,+34%
2009-05-24 - 2009-05-30,+16%
2009-05-31 - 2009-06-06,+3%
2009-06-07 - 2009-06-13,-13%
2009-06-14 - 2009-06-20,-11%
2009-06-21 - 2009-06-27,+31%
2009-06-28 - 2009-07-04,+21%
2009-07-05 - 2009-07-11,-5%
2009-07-12 - 2009-07-18,-10%
2009-07-19 - 2009-07-25,-10%
2009-07-26 - 2009-08-01,-13%
2009-08-02 - 2009-08-08,-5%
2009-08-09 - 2009-08-15,-5%
2009-08-16 - 2009-08-22,-5%
2009-08-23 - 2009-08-29,-13%
2009-08-30 - 2009-09-05,-16%
2009-09-06 - 2009-09-12,-18%
2009-09-13 - 2009-09-19,+24%
2009-09-20 - 2009-09-26,-8%
2009-09-27 - 2009-10-03,-10%
2009-10-04 - 2009-10-10,-11%
2009-10-11 - 2009-10-17,-15%
2009-10-18 - 2009-10-24,-10%
2009-10-25 - 2009-10-31,-16%
2009-11-01 - 2009-11-07,-18%
2009-11-08 - 2009-11-14,-8%
2009-11-15 - 2009-11-21,-10%
2009-11-22 - 2009-11-28,+3%
2009-11-29 - 2009-12-05,-24%
2009-12-06 - 2009-12-12,-26%
2009-12-13 - 2009-12-19,-13%
2009-12-20 - 2009-12-26,+3%
2009-12-27 - 2010-01-02,-21%



Top searches
american idol,100
youtube,90
jackson,85
michael jackson,75
rihanna,65
chris brown,65
robert pattinson,50
new moon,50
jon kate,35
twilight,35
adam lambert,35
chris brown rihanna,35
music,35
jon and kate,30
susan boyle,30
natasha richardson,25
miley cyrus,25
you tube,20
movies,20
bachelor,20



Rising searches
adam lambert,Breakout
jon and kate,Breakout
jon kate,Breakout
natasha richardson,Breakout
susan boyle,Breakout
chris brown rihanna,+2,650%
rihanna,+2,250%
new moon,+1,000%
chris brown,+850%
michael jackson,+850%



