Google Shopping interest
United States; Past 30 days

Interest over time
Day,News
2014-08-20,+0%
2014-08-21,+3%
2014-08-22,+8%
2014-08-23,+7%
2014-08-24,+0%
2014-08-25,-6%
2014-08-26,+1%
2014-08-27,-5%
2014-08-28,-5%
2014-08-29,+2%
2014-08-30,+8%
2014-08-31,+3%
2014-09-01,-2%
2014-09-02,+5%
2014-09-03,-3%
2014-09-04,-6%
2014-09-05,+6%
2014-09-06,+14%
2014-09-07,-5%
2014-09-08,-5%
2014-09-09,-6%
2014-09-10,-10%
2014-09-11,-5%
2014-09-12,-3%
2014-09-13,-6%
2014-09-14,-10%
2014-09-15,-11%
2014-09-16,-12%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
weather,100
news,5
weather radar,0
cnn,0
fox news,0
citizen,0
weather forecast,0
weather underground,0
humidifier,0
american flag,0
miley cyrus,0
kim kardashian,0
yahoo,0
fan,0



Rising searches
american flag,+40%
humidifier,+40%



