YouTube Search interest
United States; Past 7 days

Interest over time
Day,Sports
2014-09-13,+0%
2014-09-14,+9%
2014-09-15,+12%
2014-09-16,+1%
2014-09-17,+1%
2014-09-18, 
2014-09-19, 



Top searches
mayweather,100
mayweather maidana,75
fight,70
football,70
wwe,65
mayweather vs maidana,65
mayweather maidana 2,55
ray rice,40
basketball,35
fights,30
nba,30
floyd mayweather,30
nfl,25
soccer,25
wrestling,20
mike tyson,20
golf,20
ariana grande,20
real madrid,20
ufc,20



Rising searches
hit by pitch,Breakout
arsenal,+200%
mayweather maidana,+200%
mayweather maidana 2,+200%
mayweather vs maidana,+200%
real madrid,+200%
mayweather,+150%
floyd mayweather,+140%
pacquiao,+70%
fight,+50%



