YouTube Search interest
United States; Past 30 days

Interest over time
Day,Computers & Electronics
2014-08-20,+0%
2014-08-21,+2%
2014-08-22,+0%
2014-08-23,+2%
2014-08-24,+4%
2014-08-25,+2%
2014-08-26,+1%
2014-08-27,+4%
2014-08-28,+2%
2014-08-29,+4%
2014-08-30,+5%
2014-08-31,+6%
2014-09-01,+8%
2014-09-02,+7%
2014-09-03,+4%
2014-09-04,+6%
2014-09-05,+1%
2014-09-06,+4%
2014-09-07,+10%
2014-09-08,+4%
2014-09-09,+20%
2014-09-10,+14%
2014-09-11,+4%
2014-09-12,+1%
2014-09-13,+5%
2014-09-14,+10%
2014-09-15,+8%
2014-09-16,+7%
2014-09-17,+8%
2014-09-18, 
2014-09-19, 



Top searches
xbox,100
minecraft,95
free,60
xbox 360,60
apple,55
flex zone,50
no flex,50
no flex zone,50
photoshop,45
ps4,35
gaming,30
minecraft xbox,30
xbox one,25
excel,25
drive,25
minecraft xbox 360,25
iphone 6,20
squid,20
baby einstein,20
kid ink,20



Rising searches
apple iphone 6,Breakout
apple keynote,Breakout
apple keynote 2014,Breakout
iphone 6,+500%
galaxy note 4,+400%
minecraft 1.8,+400%
ios 8,+200%
apple,+170%
destiny,+130%
rittz,+60%



