News Search interest
United States; 2008

Interest over time
Week,Online Communities
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+38%
2008-01-20 - 2008-01-26,-3%
2008-01-27 - 2008-02-02,+16%
2008-02-03 - 2008-02-09,-14%
2008-02-10 - 2008-02-16,+5%
2008-02-17 - 2008-02-23,-14%
2008-02-24 - 2008-03-01,+32%
2008-03-02 - 2008-03-08,+19%
2008-03-09 - 2008-03-15,+54%
2008-03-16 - 2008-03-22,+0%
2008-03-23 - 2008-03-29,+86%
2008-03-30 - 2008-04-05,+57%
2008-04-06 - 2008-04-12,+73%
2008-04-13 - 2008-04-19,+51%
2008-04-20 - 2008-04-26,-3%
2008-04-27 - 2008-05-03,-16%
2008-05-04 - 2008-05-10,+8%
2008-05-11 - 2008-05-17,+43%
2008-05-18 - 2008-05-24,+49%
2008-05-25 - 2008-05-31,+46%
2008-06-01 - 2008-06-07,+22%
2008-06-08 - 2008-06-14,+14%
2008-06-15 - 2008-06-21,+89%
2008-06-22 - 2008-06-28,+22%
2008-06-29 - 2008-07-05,+27%
2008-07-06 - 2008-07-12,+65%
2008-07-13 - 2008-07-19,+49%
2008-07-20 - 2008-07-26,+127%
2008-07-27 - 2008-08-02,+49%
2008-08-03 - 2008-08-09,-32%
2008-08-10 - 2008-08-16,-43%
2008-08-17 - 2008-08-23,-32%
2008-08-24 - 2008-08-30,+19%
2008-08-31 - 2008-09-06,-3%
2008-09-07 - 2008-09-13,-11%
2008-09-14 - 2008-09-20,+16%
2008-09-21 - 2008-09-27,+24%
2008-09-28 - 2008-10-04,+11%
2008-10-05 - 2008-10-11,+0%
2008-10-12 - 2008-10-18,+16%
2008-10-19 - 2008-10-25,+27%
2008-10-26 - 2008-11-01,+46%
2008-11-02 - 2008-11-08,-16%
2008-11-09 - 2008-11-15,+119%
2008-11-16 - 2008-11-22,+103%
2008-11-23 - 2008-11-29,+127%
2008-11-30 - 2008-12-06,+170%
2008-12-07 - 2008-12-13,+68%
2008-12-14 - 2008-12-20,+30%
2008-12-21 - 2008-12-27,+92%
2008-12-28 - 2009-01-03,+103%



Top searches
myspace,100
facebook,75
music myspace,5
hi5,5
my space,5
club penguin,5
women,5
obama muslim,5
new facebook,5
video google,5
second life,5
video youtube,5
myspace.com,5
twitter,0
melamine,0
russian,0
social networking,0
face book,0
chat,0
gmail themes,0



Rising searches
melamine,Breakout
new facebook,Breakout
twitter,Breakout
obama muslim,+900%
video youtube,+350%
music myspace,+250%
hi5,+190%
video google,+120%
club penguin,+100%
facebook,+90%



